Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD),search
BTC,6/25/20,9252.633372,9310.989646,9333.346057,9002.374468,
BTC,6/26/20,9171.732086,9252.684713,9292.245367,9046.231365,
BTC,6/27/20,9022.153768,9171.554012,9192.768265,8843.317702,
BTC,6/28/20,9101.850057,9022.012126,9190.117478,8949.755974,13
BTC,6/29/20,9188.061375,9101.877703,9233.529361,9032.435483,13
BTC,6/30/20,9148.444859,9188.037401,9201.648794,9067.19084,13
BTC,7/1/20,9236.31677,9141.34826,9300.998983,9096.778646,13
BTC,7/2/20,9097.797366,9240.169628,9267.123022,8957.632801,13
BTC,7/3/20,9094.324561,9097.683628,9132.985825,9065.858012,13
BTC,7/4/20,9124.653534,9067.937487,9190.818987,9051.870726,13
BTC,7/5/20,9055.464483,9141.07507,9149.765584,8919.762981,12
BTC,7/6/20,9278.805637,9078.614127,9356.327421,9063.727627,12
BTC,7/7/20,9244.415815,9344.987626,9374.083533,9216.518048,12
BTC,7/8/20,9471.759973,9262.805251,9472.080067,9239.543297,12
BTC,7/9/20,9236.143254,9444.728112,9449.911243,9173.165154,12
BTC,7/10/20,9243.175259,9239.473351,9260.349785,9133.962338,12
BTC,7/11/20,9229.859755,9289.580029,9304.962551,9190.032623,12
BTC,7/12/20,9286.737042,9243.766253,9349.001062,9170.73536,14
BTC,7/13/20,9238.993755,9310.395069,9339.806986,9206.291978,14
BTC,7/14/20,9260.47098,9241.763724,9279.093222,9125.214524,14
BTC,7/15/20,9211.026433,9261.511425,9275.45244,9167.649721,14
BTC,7/16/20,9133.77783,9192.623666,9219.426492,9048.084922,14
BTC,7/17/20,9160.410591,9132.454747,9186.96179,9085.977619,14
BTC,7/18/20,9176.68639,9159.369281,9212.520944,9130.022301,14
BTC,7/19/20,9190.271534,9182.914419,9197.726524,9117.058699,12
BTC,7/20/20,9172.588333,9213.358566,9223.07652,9152.280649,12
BTC,7/21/20,9395.064446,9166.298231,9445.579319,9159.972579,12
BTC,7/22/20,9530.790885,9399.730238,9551.996412,9313.812944,12
BTC,7/23/20,9617.377861,9534.116269,9681.909452,9452.744476,12
BTC,7/24/20,9568.974726,9617.389459,9646.957118,9479.577351,12
BTC,7/25/20,9708.94914,9557.065314,9746.556096,9546.032528,12
BTC,7/26/20,9938.951223,9714.685123,10135.88216,9670.416834,20
BTC,7/27/20,11187.77973,9940.111573,11394.84875,9930.83996,20
BTC,7/28/20,10939.67014,11040.79047,11254.55134,10580.1286,20
BTC,7/29/20,11284.45899,10930.45278,11318.0871,10852.88097,20
BTC,7/30/20,11118.91841,11118.88858,11180.43064,10847.20085,20
BTC,7/31/20,11373.31726,11112.42116,11467.95059,10980.82391,20
BTC,8/1/20,11766.7483,11352.71504,11880.77364,11241.97677,20
BTC,8/2/20,11139.09838,11820.51291,12117.67708,10658.94608,18
BTC,8/3/20,11261.80633,11071.26711,11480.28338,10956.56291,18
BTC,8/4/20,11228.02632,11237.22451,11400.06419,11045.96842,18
BTC,8/5/20,11653.40759,11196.28746,11791.10323,11107.1352,18
BTC,8/6/20,11796.81736,11756.89486,11917.76504,11581.57513,18
BTC,8/7/20,11639.93541,11780.04401,11917.85915,11347.41279,18
BTC,8/8/20,11744.91208,11610.9087,11814.95666,11543.3477,18
BTC,8/9/20,11673.12324,11770.45097,11802.66293,11536.75286,17
BTC,8/10/20,11832.22731,11693.17945,12070.44182,11546.95776,17
BTC,8/11/20,11340.58234,11903.3335,11941.6518,11137.81368,17
BTC,8/12/20,11549.54631,11399.06848,11626.23784,11166.54478,17
BTC,8/13/20,11752.16866,11571.10263,11795.43575,11287.64679,17
BTC,8/14/20,11783.28341,11789.95953,11867.28291,11663.41146,17
BTC,8/15/20,11895.62695,11782.78559,11987.65155,11714.58902,17
BTC,8/16/20,11896.94717,11862.38742,11938.8761,11705.49261,16
BTC,8/17/20,12399.11188,11916.58022,12476.69704,11778.30371,16
BTC,8/18/20,12071.73891,12299.81621,12391.84071,11840.39237,16
BTC,8/19/20,11749.82951,11959.02939,12029.75799,11589.5762,16
BTC,8/20/20,11833.89735,11766.18313,11899.96341,11690.15508,16
BTC,8/21/20,11583.13894,11866.28401,11890.03166,11525.26123,16
BTC,8/22/20,11674.62435,11539.71729,11694.47049,11393.21033,16
BTC,8/23/20,11666.41012,11677.05824,11726.23458,11539.08981,14
BTC,8/24/20,11744.0127,11660.39682,11835.35928,11601.74066,14
BTC,8/25/20,11378.72603,11759.3614,11771.3353,11133.16876,14
BTC,8/26/20,11458.8226,11334.03573,11546.20239,11265.22814,14
